Complexity,Loss,Equation
1,2.9410147257451285,"0.26678273490711973"
2,2.4358763403450068,"cos(x4)"
4,2.0423815286706093,"cos(x4 / x1)"
6,1.8813016308854276,"cos((x4 / x1) * 0.8405305194434044)"
8,1.776238424071813,"(cos((x4 / x1) * 0.8400846425643813) * 1.4116033578648228)"
